GENERATION,FITNESS,NODE
33,7308.892967520881,N12
27,270.76064748330924,N12
26,144.15810965162274,N12
32,270.7606474830488,N12
24,144.15810965162274,N12
30,270.7606474830488,N12
18,144.15810965162274,N12
19,144.15810965162274,N12
31,270.7606474830488,N12
25,144.15810965162274,N12
21,144.15810965162274,N12
35,7308.892967520881,N12
34,7308.892967520881,N12
20,144.15810965162274,N12
9,144.15810965162274,N12
36,7308.892967520881,N12
22,144.15810965162274,N12
23,144.15810965162274,N12
37,7308.892967520881,N12
8,144.15810965162274,N12
93,7308.892967520881,N12
87,7308.892967520881,N12
50,7308.892967520881,N12
44,7308.892967520881,N12
78,7308.892967520881,N12
79,7308.892967520881,N12
45,7308.892967520881,N12
51,7308.892967520881,N12
86,7308.892967520881,N12
92,7308.892967520881,N12
84,7308.892967520881,N12
90,7308.892967520881,N12
47,7308.892967520881,N12
53,7308.892967520881,N12
52,7308.892967520881,N12
46,7308.892967520881,N12
91,7308.892967520881,N12
85,7308.892967520881,N12
81,7308.892967520881,N12
95,7308.892967520881,N12
42,7308.892967520881,N12
56,7308.892967520881,N12
57,7308.892967520881,N12
43,7308.892967520881,N12
94,7308.892967520881,N12
80,7308.892967520881,N12
96,7308.892967520881,N12
82,7308.892967520881,N12
69,7308.892967520881,N12
55,7308.892967520881,N12
41,7308.892967520881,N12
40,7308.892967520881,N12
54,7308.892967520881,N12
68,7308.892967520881,N12
83,7308.892967520881,N12
97,7308.892967520881,N12
71,7308.892967520881,N12
65,7308.892967520881,N12
59,7308.892967520881,N12
58,7308.892967520881,N12
64,7308.892967520881,N12
70,7308.892967520881,N12
99,7308.892967520881,N12
66,7308.892967520881,N12
72,7308.892967520881,N12
73,7308.892967520881,N12
67,7308.892967520881,N12
98,7308.892967520881,N12
88,7308.892967520881,N12
63,7308.892967520881,N12
77,7308.892967520881,N12
76,7308.892967520881,N12
62,7308.892967520881,N12
89,7308.892967520881,N12
48,7308.892967520881,N12
74,7308.892967520881,N12
60,7308.892967520881,N12
61,7308.892967520881,N12
75,7308.892967520881,N12
49,7308.892967520881,N12
5,144.15810965162274,N12
12,144.15810965162274,N12
13,144.15810965162274,N12
4,144.15810965162274,N12
100,7308.892967520881,N12
6,144.15810965162274,N12
11,144.15810965162274,N12
39,7308.892967520881,N12
38,7308.892967520881,N12
10,144.15810965162274,N12
7,144.15810965162274,N12
3,144.15810965169658,N12
28,270.7606474830488,N12
14,144.15810965162274,N12
15,144.15810965162274,N12
29,270.7606474830488,N12
2,68.19130878456029,N12
17,144.15810965162274,N12
16,144.15810965162274,N12
1,68.19130878456029,N12
