GENERATION,FITNESS,NODE
15,51426.7206390906,N2
29,51426.7206390906,N2
28,51426.7206390906,N2
14,3063.6201079908496,N2
16,51426.7206390906,N2
17,51426.7206390906,N2
13,3063.6201079908496,N2
12,3063.6201079908496,N2
38,51426.7206390906,N2
10,3063.6201079908496,N2
11,3063.6201079908496,N2
39,51426.7206390906,N2
4,1869.0248731801817,N2
89,51426.7206390906,N2
76,51426.7206390906,N2
62,51426.7206390906,N2
63,51426.7206390906,N2
77,51426.7206390906,N2
88,51426.7206390906,N2
5,1869.0248731553609,N2
7,1869.0248731553609,N2
61,51426.7206390906,N2
75,51426.7206390906,N2
49,51426.7206390906,N2
48,51426.7206390906,N2
74,51426.7206390906,N2
60,51426.7206390906,N2
6,1869.0248731553609,N2
2,669.8522516113959,N2
58,51426.7206390906,N2
64,51426.7206390906,N2
70,51426.7206390906,N2
71,51426.7206390906,N2
65,51426.7206390906,N2
59,51426.7206390906,N2
3,669.8522516113959,N2
98,51426.7206390906,N2
1,669.8522516113959,N2
73,51426.7206390906,N2
67,51426.7206390906,N2
66,51426.7206390906,N2
72,51426.7206390906,N2
99,51426.7206390906,N2
94,51426.7206390906,N2
80,51426.7206390906,N2
57,51426.7206390906,N2
43,51426.7206390906,N2
42,51426.7206390906,N2
56,51426.7206390906,N2
81,51426.7206390906,N2
95,51426.7206390906,N2
83,51426.7206390906,N2
97,51426.7206390906,N2
40,51426.7206390906,N2
54,51426.7206390906,N2
68,51426.7206390906,N2
69,51426.7206390906,N2
55,51426.7206390906,N2
41,51426.7206390906,N2
96,51426.7206390906,N2
82,51426.7206390906,N2
86,51426.7206390906,N2
92,51426.7206390906,N2
79,51426.7206390906,N2
45,51426.7206390906,N2
51,51426.7206390906,N2
50,51426.7206390906,N2
44,51426.7206390906,N2
78,51426.7206390906,N2
93,51426.7206390906,N2
87,51426.7206390906,N2
8,1869.0248731553609,N2
91,51426.7206390906,N2
85,51426.7206390906,N2
52,51426.7206390906,N2
46,51426.7206390906,N2
47,51426.7206390906,N2
53,51426.7206390906,N2
84,51426.7206390906,N2
90,51426.7206390906,N2
9,3063.6201079908496,N2
34,51426.7206390906,N2
20,51426.7206390906,N2
21,51426.7206390906,N2
35,51426.7206390906,N2
23,51426.7206390906,N2
37,51426.7206390906,N2
100,51426.7206390906,N2
36,51426.7206390906,N2
22,51426.7206390906,N2
26,51426.7206390906,N2
32,51426.7206390906,N2
33,51426.7206390906,N2
27,51426.7206390906,N2
19,51426.7206390906,N2
31,51426.7206390906,N2
25,51426.7206390906,N2
24,51426.7206390906,N2
30,51426.7206390906,N2
18,51426.7206390906,N2
82,4586.434321594862,N3
96,4586.434321594862,N3
69,4586.434321594862,N3
41,4586.434321594862,N3
55,4586.434321594862,N3
7,701.6806320137796,N3
6,701.6806320137796,N3
54,4586.434321594862,N3
40,4586.434321594862,N3
68,4586.434321594862,N3
97,4586.434321594862,N3
83,4586.434321594862,N3
95,4586.434321594862,N3
81,4586.434321594862,N3
56,4586.434321594862,N3
42,4586.434321594862,N3
4,293.10266770773063,N3
5,701.6806320137796,N3
43,4586.434321594862,N3
57,4586.434321594862,N3
80,4586.434321594862,N3
94,4586.434321594862,N3
90,4586.434321594862,N3
84,4586.434321594862,N3
53,4586.434321594862,N3
47,4586.434321594862,N3
1,141.27497500710595,N3
46,4586.434321594862,N3
52,4586.434321594862,N3
85,4586.434321594862,N3
91,4586.434321594862,N3
87,4586.434321594862,N3
93,4586.434321594862,N3
44,4586.434321594862,N3
50,4586.434321594862,N3
78,4586.434321594862,N3
2,141.27497500710595,N3
3,141.27497500710595,N3
79,4586.434321594862,N3
51,4586.434321594862,N3
45,4586.434321594862,N3
92,4586.434321594862,N3
86,4586.434321594862,N3
22,4586.434321594862,N3
36,4586.434321594862,N3
37,4586.434321594862,N3
23,4586.434321594862,N3
35,4586.434321594862,N3
21,4586.434321594862,N3
20,2332.613844059014,N3
34,4586.434321594862,N3
30,4586.434321594862,N3
24,4586.434321594862,N3
18,2332.613844059014,N3
19,2332.613844059014,N3
25,4586.434321594862,N3
31,4586.434321594862,N3
27,4586.434321594862,N3
33,4586.434321594862,N3
32,4586.434321594862,N3
26,4586.434321594862,N3
17,2332.613844059014,N3
16,2332.613844059014,N3
28,4586.434321594862,N3
14,2332.613844059014,N3
15,2332.613844059014,N3
29,4586.434321594862,N3
11,2332.613844059014,N3
39,4586.434321594862,N3
38,4586.434321594862,N3
10,2332.613844059014,N3
12,2332.613844059014,N3
13,2332.613844059014,N3
48,4586.434321594862,N3
60,4586.434321594862,N3
74,4586.434321594862,N3
75,4586.434321594862,N3
61,4586.434321594862,N3
49,4586.434321594862,N3
88,4586.434321594862,N3
77,4586.434321594862,N3
63,4586.434321594862,N3
62,4586.434321594862,N3
76,4586.434321594862,N3
89,4586.434321594862,N3
99,4586.434321594862,N3
72,4586.434321594862,N3
66,4586.434321594862,N3
8,2332.613844059014,N3
100,4586.434321594862,N3
9,2332.613844059014,N3
67,4586.434321594862,N3
73,4586.434321594862,N3
98,4586.434321594862,N3
65,4586.434321594862,N3
71,4586.434321594862,N3
59,4586.434321594862,N3
58,4586.434321594862,N3
70,4586.434321594862,N3
64,4586.434321594862,N3
87,322044.884862749,N1
93,322044.884862749,N1
78,124003.43779125296,N1
44,37181.46154915518,N1
50,37181.46154915518,N1
5,6582.075912598109,N1
4,6582.075912598109,N1
51,37181.46154915518,N1
45,37181.46154915518,N1
79,124003.43779125296,N1
92,322044.884862749,N1
86,124003.43779125296,N1
90,322044.884862749,N1
84,124003.43779125296,N1
53,37181.46154915518,N1
47,37181.46154915518,N1
6,6582.075912598109,N1
7,6582.075912598109,N1
46,37181.46154915518,N1
52,37181.46154915518,N1
85,124003.43779125296,N1
91,322044.884862749,N1
95,322044.884862749,N1
81,124003.43779125296,N1
56,124003.43779125296,N1
42,37181.46154915518,N1
3,6582.075912598109,N1
2,3262.9030666956564,N1
43,37181.46154915518,N1
57,124003.43779125296,N1
80,124003.43779125296,N1
94,322044.884862749,N1
82,124003.43779125296,N1
96,322044.884862749,N1
41,37181.46154915518,N1
55,124003.43779125296,N1
69,124003.43779125296,N1
1,3262.9030666956564,N1
68,124003.43779125296,N1
54,37181.46154915518,N1
40,37181.46154915518,N1
97,322044.884862749,N1
83,124003.43779125296,N1
27,37181.46154915518,N1
33,37181.46154915518,N1
32,37181.46154915518,N1
26,37181.46154915518,N1
18,21060.256149052995,N1
30,37181.46154915518,N1
24,21060.256149052995,N1
25,37181.46154915518,N1
31,37181.46154915518,N1
19,21060.256149052995,N1
35,37181.46154915518,N1
21,21060.256149052995,N1
20,21060.256149052995,N1
34,37181.46154915518,N1
22,21060.256149052995,N1
36,37181.46154915518,N1
37,37181.46154915518,N1
23,21060.256149052995,N1
12,21060.256149052995,N1
13,21060.256149052995,N1
100,322044.884862749,N1
39,37181.46154915518,N1
11,21060.256149052995,N1
10,12551.144702765396,N1
38,37181.46154915518,N1
14,21060.256149052995,N1
28,37181.46154915518,N1
29,37181.46154915518,N1
15,21060.256149052995,N1
17,21060.256149052995,N1
16,21060.256149052995,N1
59,124003.43779125296,N1
65,124003.43779125296,N1
71,124003.43779125296,N1
70,124003.43779125296,N1
64,124003.43779125296,N1
58,124003.43779125296,N1
99,322044.884862749,N1
72,124003.43779125296,N1
66,124003.43779125296,N1
67,124003.43779125296,N1
