GENERATION,FITNESS,NODE
71,166913.48175715515,N6
65,10954.021632024003,N6
59,10954.021632024003,N6
58,10954.021632024003,N6
64,10954.021632024003,N6
70,166913.48175715515,N6
100,166913.48175715515,N6
99,166913.48175715515,N6
66,166913.48175715515,N6
72,166913.48175715515,N6
73,166913.48175715515,N6
67,166913.48175715515,N6
98,166913.48175715515,N6
88,166913.48175715515,N6
63,10954.021632024003,N6
77,166913.48175715515,N6
76,166913.48175715515,N6
62,10954.021632024003,N6
89,166913.48175715515,N6
48,10954.021632024003,N6
74,166913.48175715515,N6
60,10954.021632024003,N6
61,10954.021632024003,N6
75,166913.48175715515,N6
49,10954.021632024003,N6
12,1512.306345274253,N6
1,540.989197349068,N6
13,1512.306345274253,N6
11,1512.306345274253,N6
39,10954.021632024003,N6
3,590.2992133720177,N6
2,590.2992133720177,N6
38,10954.021632024003,N6
10,1512.306345274253,N6
28,4183.187516240452,N6
14,1512.306345274253,N6
6,1512.306345274253,N6
7,1512.306345274253,N6
15,1512.306345274253,N6
29,4183.187516240452,N6
17,1512.306345274253,N6
5,1512.306345274253,N6
4,1512.306345274253,N6
16,1512.306345274253,N6
33,10954.021632024003,N6
27,4183.187516240452,N6
9,1512.306345274253,N6
8,1512.306345274253,N6
26,4183.187516240452,N6
32,10954.021632024003,N6
24,4183.187516240452,N6
30,4183.187516240452,N6
18,1512.306345274253,N6
19,1512.306345274253,N6
31,10954.021632024003,N6
25,4183.187516240452,N6
21,1512.306345274253,N6
35,10954.021632024003,N6
34,10954.021632024003,N6
20,1512.306345274253,N6
36,10954.021632024003,N6
22,4183.187516240452,N6
23,4183.187516240452,N6
37,10954.021632024003,N6
93,166913.48175715515,N6
87,166913.48175715515,N6
50,10954.021632024003,N6
44,10954.021632024003,N6
78,166913.48175715515,N6
79,166913.48175715515,N6
45,10954.021632024003,N6
51,10954.021632024003,N6
86,166913.48175715515,N6
92,166913.48175715515,N6
84,166913.48175715515,N6
90,166913.48175715515,N6
47,10954.021632024003,N6
53,10954.021632024003,N6
52,10954.021632024003,N6
46,10954.021632024003,N6
91,166913.48175715515,N6
85,166913.48175715515,N6
81,166913.48175715515,N6
95,166913.48175715515,N6
42,10954.021632024003,N6
56,10954.021632024003,N6
57,10954.021632024003,N6
43,10954.021632024003,N6
94,166913.48175715515,N6
80,166913.48175715515,N6
96,166913.48175715515,N6
82,166913.48175715515,N6
69,166913.48175715515,N6
55,10954.021632024003,N6
41,10954.021632024003,N6
40,10954.021632024003,N6
54,10954.021632024003,N6
68,166913.48175715515,N6
83,166913.48175715515,N6
97,166913.48175715515,N6
