GENERATION,FITNESS,NODE
15,3064.666787418385,N2
29,13783.14827238986,N2
28,6588.896261530032,N2
14,3064.666787418385,N2
16,6588.896261530032,N2
17,6588.896261530032,N2
13,3064.666787418385,N2
12,3064.666787418385,N2
38,35371.94659143564,N2
10,1483.909778919765,N2
11,3064.666787418385,N2
39,35371.94659143564,N2
4,908.2036250320416,N2
89,35371.94659143564,N2
76,35371.94659143564,N2
62,35371.94659143564,N2
63,35371.94659143564,N2
77,35371.94659143564,N2
88,35371.94659143564,N2
5,908.2036250320416,N2
7,1483.909778919765,N2
61,35371.94659143564,N2
75,35371.94659143564,N2
49,35371.94659143564,N2
48,35371.94659143564,N2
74,35371.94659143564,N2
60,35371.94659143564,N2
6,1483.909778919765,N2
2,795.5463595493972,N2
58,35371.94659143564,N2
64,35371.94659143564,N2
70,35371.94659143564,N2
71,35371.94659143564,N2
65,35371.94659143564,N2
59,35371.94659143564,N2
3,795.5463595493972,N2
98,35371.94659143564,N2
1,795.5463595493972,N2
73,35371.94659143564,N2
67,35371.94659143564,N2
66,35371.94659143564,N2
72,35371.94659143564,N2
99,35371.94659143564,N2
94,35371.94659143564,N2
80,35371.94659143564,N2
57,35371.94659143564,N2
43,35371.94659143564,N2
42,35371.94659143564,N2
56,35371.94659143564,N2
81,35371.94659143564,N2
95,35371.94659143564,N2
83,35371.94659143564,N2
97,35371.94659143564,N2
40,35371.94659143564,N2
54,35371.94659143564,N2
68,35371.94659143564,N2
69,35371.94659143564,N2
55,35371.94659143564,N2
41,35371.94659143564,N2
96,35371.94659143564,N2
82,35371.94659143564,N2
86,35371.94659143564,N2
92,35371.94659143564,N2
79,35371.94659143564,N2
45,35371.94659143564,N2
51,35371.94659143564,N2
50,35371.94659143564,N2
44,35371.94659143564,N2
78,35371.94659143564,N2
93,35371.94659143564,N2
87,35371.94659143564,N2
8,1483.909778919765,N2
91,35371.94659143564,N2
85,35371.94659143564,N2
52,35371.94659143564,N2
46,35371.94659143564,N2
47,35371.94659143564,N2
53,35371.94659143564,N2
84,35371.94659143564,N2
90,35371.94659143564,N2
9,1483.909778919765,N2
34,35371.94659143564,N2
20,6588.896261530032,N2
21,6588.896261530032,N2
35,35371.94659143564,N2
23,6588.896261530032,N2
37,35371.94659143564,N2
100,35371.94659143564,N2
36,35371.94659143564,N2
22,6588.896261530032,N2
26,6588.896261530032,N2
32,35371.94659143564,N2
33,35371.94659143564,N2
27,6588.896261530032,N2
19,6588.896261530032,N2
31,35371.94659143564,N2
25,6588.896261530032,N2
24,6588.896261530032,N2
30,13783.14827238986,N2
18,6588.896261530032,N2
82,179534.72126856906,N3
96,179534.72126856906,N3
69,179534.72126856906,N3
41,179534.72126856906,N3
55,179534.72126856906,N3
7,608.1079462051274,N3
6,608.1079462051274,N3
54,179534.72126856906,N3
40,179534.72126856906,N3
68,179534.72126856906,N3
97,179534.72126856906,N3
83,179534.72126856906,N3
95,179534.72126856906,N3
81,179534.72126856906,N3
56,179534.72126856906,N3
42,179534.72126856906,N3
4,608.1079462051274,N3
5,608.1079462051274,N3
43,179534.72126856906,N3
57,179534.72126856906,N3
80,179534.72126856906,N3
94,179534.72126856906,N3
90,179534.72126856906,N3
84,179534.72126856906,N3
53,179534.72126856906,N3
47,179534.72126856906,N3
1,279.5720464367663,N3
46,179534.72126856906,N3
52,179534.72126856906,N3
85,179534.72126856906,N3
91,179534.72126856906,N3
87,179534.72126856906,N3
93,179534.72126856906,N3
44,179534.72126856906,N3
50,179534.72126856906,N3
78,179534.72126856906,N3
2,279.57204643621094,N3
3,279.57204643621094,N3
79,179534.72126856906,N3
51,179534.72126856906,N3
45,179534.72126856906,N3
92,179534.72126856906,N3
86,179534.72126856906,N3
22,179534.72126856906,N3
36,179534.72126856906,N3
37,179534.72126856906,N3
23,179534.72126856906,N3
35,179534.72126856906,N3
21,179534.72126856906,N3
20,179534.72126856906,N3
34,179534.72126856906,N3
30,179534.72126856906,N3
24,179534.72126856906,N3
18,179534.72126856906,N3
19,179534.72126856906,N3
25,179534.72126856906,N3
31,179534.72126856906,N3
27,179534.72126856906,N3
33,179534.72126856906,N3
32,179534.72126856906,N3
26,179534.72126856906,N3
17,179534.72126856906,N3
16,2497.6598654464324,N3
28,179534.72126856906,N3
14,2497.6598654464324,N3
15,2497.6598654464324,N3
29,179534.72126856906,N3
11,785.5928941106644,N3
39,179534.72126856906,N3
38,179534.72126856906,N3
10,608.1079462051274,N3
12,785.5928941106644,N3
13,2497.6598654464324,N3
48,179534.72126856906,N3
60,179534.72126856906,N3
74,179534.72126856906,N3
75,179534.72126856906,N3
61,179534.72126856906,N3
49,179534.72126856906,N3
88,179534.72126856906,N3
77,179534.72126856906,N3
63,179534.72126856906,N3
62,179534.72126856906,N3
76,179534.72126856906,N3
89,179534.72126856906,N3
99,179534.72126856906,N3
72,179534.72126856906,N3
66,179534.72126856906,N3
8,608.1079462051274,N3
100,179534.72126856906,N3
9,608.1079462051274,N3
67,179534.72126856906,N3
73,179534.72126856906,N3
98,179534.72126856906,N3
