GENERATION,FITNESS,NODE
94.0,5574.052462744618,for
80.0,5574.052462744618,for
57.0,2599.091792098408,for
100.0,5574.052462744618,for
43.0,2599.091792098408,for
8.0,626.3022041591312,for
9.0,626.3022041591312,for
42.0,2599.091792098408,for
56.0,2599.091792098408,for
81.0,5574.052462744618,for
95.0,5574.052462744618,for
83.0,5574.052462744618,for
97.0,5574.052462744618,for
40.0,2599.091792098408,for
54.0,2599.091792098408,for
68.0,5574.052462744618,for
69.0,5574.052462744618,for
55.0,2599.091792098408,for
41.0,2599.091792098408,for
96.0,5574.052462744618,for
82.0,5574.052462744618,for
86.0,5574.052462744618,for
92.0,5574.052462744618,for
79.0,5574.052462744618,for
45.0,2599.091792098408,for
51.0,2599.091792098408,for
50.0,2599.091792098408,for
44.0,2599.091792098408,for
78.0,5574.052462744618,for
93.0,5574.052462744618,for
87.0,5574.052462744618,for
91.0,5574.052462744618,for
85.0,5574.052462744618,for
52.0,2599.091792098408,for
46.0,2599.091792098408,for
47.0,2599.091792098408,for
53.0,2599.091792098408,for
84.0,5574.052462744618,for
90.0,5574.052462744618,for
34.0,2599.091792098408,for
20.0,2599.091792098408,for
21.0,2599.091792098408,for
35.0,2599.091792098408,for
23.0,2599.091792098408,for
37.0,2599.091792098408,for
36.0,2599.091792098408,for
22.0,2599.091792098408,for
26.0,2599.091792098408,for
32.0,2599.091792098408,for
33.0,2599.091792098408,for
27.0,2599.091792098408,for
19.0,2599.091792098408,for
31.0,2599.091792098408,for
25.0,2599.091792098408,for
24.0,2599.091792098408,for
30.0,2599.091792098408,for
18.0,1914.093087083932,for
15.0,1914.093087083932,for
29.0,2599.091792098408,for
28.0,2599.091792098408,for
14.0,1914.093087083932,for
16.0,1914.093087083932,for
17.0,1914.093087083932,for
13.0,1914.093087083932,for
12.0,1914.093087083932,for
38.0,2599.091792098408,for
10.0,626.3022041591312,for
11.0,1914.093087083932,for
39.0,2599.091792098408,for
89.0,5574.052462744618,for
76.0,5574.052462744618,for
62.0,5574.052462744618,for
1.0,133.96479837228264,for
63.0,5574.052462744618,for
77.0,5574.052462744618,for
88.0,5574.052462744618,for
61.0,2599.091792098408,for
75.0,5574.052462744618,for
49.0,2599.091792098408,for
2.0,133.96479837228264,for
3.0,133.96479837228264,for
48.0,2599.091792098408,for
74.0,5574.052462744618,for
60.0,2599.091792098408,for
58.0,2599.091792098408,for
64.0,5574.052462744618,for
70.0,5574.052462744618,for
7.0,626.3022041591312,for
6.0,626.3022041591312,for
71.0,5574.052462744618,for
65.0,5574.052462744618,for
59.0,2599.091792098408,for
98.0,5574.052462744618,for
73.0,5574.052462744618,for
67.0,5574.052462744618,for
4.0,626.3022041605248,for
5.0,626.3022041591312,for
66.0,5574.052462744618,for
72.0,5574.052462744618,for
99.0,5574.052462744618,for
